               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.034916,            0.017904,                   0,             0.60789,             0.86207,             0.66566,             0.32913,           0.0089519,           0.0059873,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.037026,            0.018199,                   0,             0.62416,             0.85904,              0.6721,             0.31411,           0.0089665,           0.0058864,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.039063,            0.018423,                   0,             0.68532,             0.82611,             0.77666,             0.36917,           0.0090001,           0.0054995,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.033303,            0.017638,                   0,             0.77851,             0.86207,             0.85436,             0.44011,            0.009044,           0.0051315,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.030601,            0.019573,                   0,             0.79371,             0.92876,             0.86744,             0.41534,            0.010132,            0.004735,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.029283,            0.017405,                   0,             0.89646,              0.8957,             0.96451,             0.44142,           0.0092193,           0.0047555,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.039376,            0.017813,                   0,             0.96145,             0.89655,             0.96204,             0.46137,           0.0093494,           0.0050365,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.035778,            0.017491,                   0,             0.92562,              0.8584,             0.96078,             0.47738,           0.0090028,            0.005084,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.042273,            0.016624,                   0,              0.8964,             0.89513,             0.95002,             0.49236,            0.009125,           0.0055221,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.038977,            0.017844,                   0,             0.96153,             0.86184,             0.96636,             0.53721,           0.0087456,           0.0055429,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.036727,            0.017357,                   0,             0.90294,             0.96246,             0.97869,             0.50666,             0.01002,           0.0049527,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.029236,            0.016168,                   0,             0.96255,             0.93103,             0.97888,             0.54925,            0.008847,           0.0047294,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.032067,            0.018046,                   0,             0.92992,             0.93103,             0.94282,             0.55203,           0.0095414,           0.0046918,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.027864,            0.017258,                   0,             0.96153,             0.86195,             0.92027,              0.5401,           0.0087059,            0.004531,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.035401,            0.015901,                   0,             0.91959,              0.7931,             0.86441,             0.51497,           0.0095614,           0.0044429,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.02675,            0.016763,                   0,             0.87469,             0.96552,             0.97647,             0.56233,           0.0080662,           0.0044238,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.032438,              0.0165,                   0,             0.86657,             0.89585,             0.88097,             0.52081,           0.0084495,           0.0046509,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.034404,            0.016419,                   0,             0.89816,             0.93103,             0.94188,             0.52765,           0.0080763,           0.0048891,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.03079,            0.016106,                   0,             0.84796,             0.96552,             0.94274,             0.53998,           0.0078982,            0.004749,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.030532,            0.016001,                   0,              0.9285,             0.89566,             0.95189,             0.57643,           0.0079322,           0.0046503,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.028192,              0.0155,                   0,             0.95813,             0.89655,             0.96673,             0.57908,           0.0082695,             0.00457,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.034063,            0.015709,                   0,             0.89645,             0.89655,             0.90128,             0.56096,           0.0085614,           0.0044469,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.03262,            0.016285,                   0,             0.92852,             0.89587,             0.91605,             0.55036,           0.0086485,           0.0043699,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.032844,            0.014803,                   0,              0.9032,             0.96529,             0.96288,             0.55284,           0.0083896,           0.0044982,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.027163,            0.015645,                   0,             0.93058,             0.93103,             0.96705,             0.52042,           0.0085976,           0.0046034,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022243,            0.013753,                   0,             0.93544,             0.99925,              0.9897,             0.54981,           0.0083226,           0.0045968,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.024672,            0.016482,                   0,             0.90616,             0.99901,              0.9768,             0.57892,           0.0084058,           0.0046178,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.030847,            0.016245,                   0,             0.90316,             0.96486,             0.94488,             0.54745,           0.0087265,           0.0046642,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.026799,              0.0154,                   0,             0.85282,                   1,              0.9517,             0.52588,           0.0086626,           0.0046281,                   0,            0.003565,            0.003565,            0.003565
                  67,              0.0218,            0.014885,                   0,             0.85291,             0.99974,             0.96405,             0.54007,           0.0084076,           0.0045641,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.029685,            0.016661,                   0,               0.763,             0.99917,             0.94379,             0.54093,           0.0086949,           0.0045664,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.022378,             0.01369,                   0,             0.87482,             0.96399,             0.96108,             0.57124,           0.0085517,           0.0045471,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.025587,            0.014095,                   0,             0.90568,                   1,             0.97782,             0.58829,           0.0083995,           0.0044869,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.026123,            0.013706,                   0,             0.93239,             0.96552,             0.98716,             0.60012,           0.0088448,           0.0043623,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.034551,            0.015373,                   0,             0.87832,                   1,             0.98169,              0.6017,           0.0081864,           0.0043807,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.023604,            0.013679,                   0,             0.96665,             0.99959,               0.987,             0.55128,           0.0081868,           0.0045478,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.039424,            0.014702,                   0,             0.96616,                   1,               0.993,             0.57559,           0.0081138,           0.0045401,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.03681,            0.015376,                   0,             0.96077,             0.96552,             0.98874,             0.57412,           0.0081621,           0.0045068,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.035059,            0.014936,                   0,             0.93544,                   1,             0.98824,             0.56425,           0.0083269,           0.0044951,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.023279,             0.01471,                   0,             0.93547,             0.99974,             0.98479,             0.56124,           0.0084499,            0.004353,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.025361,            0.014061,                   0,             0.93528,                   1,             0.98363,             0.55156,           0.0086238,           0.0043479,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.02174,            0.015661,                   0,             0.93547,             0.99976,             0.98113,             0.54171,           0.0086142,           0.0044273,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.030991,            0.015181,                   0,             0.90588,                   1,              0.9783,             0.54752,           0.0084493,            0.004427,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.021798,            0.016146,                   0,             0.87874,                   1,             0.95872,             0.52355,           0.0081575,           0.0046797,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.02909,            0.013904,                   0,             0.87857,                   1,             0.96732,             0.52106,           0.0080384,            0.004776,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.021863,            0.014084,                   0,             0.90625,             0.99997,             0.98769,             0.52131,           0.0081475,           0.0047208,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.026742,            0.014175,                   0,             0.99982,             0.96552,             0.99219,             0.52878,           0.0082556,           0.0046983,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.020517,            0.014986,                   0,                   1,             0.99973,               0.995,             0.54038,           0.0085064,           0.0045596,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.027816,            0.013424,                   0,             0.99998,                   1,               0.995,             0.54791,           0.0086046,           0.0043553,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.024075,            0.013716,                   0,                   1,              0.9999,               0.995,             0.57095,           0.0082565,           0.0042261,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.025431,              0.0145,                   0,              0.9997,                   1,               0.995,             0.57721,           0.0082025,           0.0042241,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.025824,            0.013434,                   0,             0.96651,                   1,               0.994,             0.58819,           0.0081298,           0.0043055,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.029436,            0.014264,                   0,                   1,             0.96549,             0.99306,             0.58437,           0.0081577,           0.0042647,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.030664,            0.014419,                   0,             0.96666,             0.99986,               0.993,             0.58103,           0.0081132,           0.0042976,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.028948,            0.013144,                   0,             0.99999,                   1,               0.995,             0.56335,           0.0080626,           0.0042368,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.024085,            0.014135,                   0,             0.99989,                   1,               0.995,             0.55576,           0.0081237,           0.0041773,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.020821,            0.013821,                   0,             0.99995,                   1,               0.995,             0.57118,            0.008234,            0.004171,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.026218,            0.014472,                   0,             0.96659,                   1,             0.99167,             0.57547,           0.0082597,           0.0041702,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.020432,            0.013369,                   0,             0.96645,                   1,             0.99067,             0.57761,           0.0081544,           0.0041556,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.02221,            0.013314,                   0,             0.93548,             0.99992,             0.98824,             0.58695,           0.0079352,           0.0041529,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.027252,            0.014978,                   0,             0.93548,             0.99988,             0.98582,             0.59064,           0.0079036,           0.0041421,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.022623,            0.013671,                   0,             0.93547,             0.99975,             0.98582,             0.59033,            0.007854,           0.0041408,                   0,            0.000298,            0.000298,            0.000298
